Date,AAPL,AMZN,MSFT,TSLA,SPY
2021-10-25,145.2378692626953,166.01849365234375,296.91912841796875,341.6199951171875,429.40496826171875
2021-10-26,145.90231323242188,168.80349731445312,298.8271484375,339.4766540527344,429.7915344238281
2021-10-27,145.443115234375,169.62449645996094,311.4119567871094,345.9533386230469,427.8873596191406
2021-10-28,149.0779571533203,172.32850646972656,312.5489807128906,359.0133361816406,432.0160827636719
2021-10-29,146.37135314941406,168.6215057373047,319.5544738769531,371.3333435058594,432.8926086425781
2021-11-01,145.55055236816406,165.90550231933594,317.3863220214844,402.86334228515625,433.63726806640625
2021-11-02,146.58636474609375,165.6374969482422,321.009521484375,390.6666564941406,435.3905334472656
2021-11-03,148.0226593017578,169.1999969482422,321.847900390625,404.6199951171875,438.0487060546875
2021-11-04,147.50482177734375,173.85000610351562,324.1991882324219,409.9700012207031,440.1130065917969
2021-11-05,148.03318786621094,175.94949340820312,323.8330383300781,407.36334228515625,441.6401062011719
2021-11-08,147.2112274169922,174.44900512695312,324.7291259765625,387.64666748046875,442.01708984375
2021-11-09,147.57330322265625,178.81149291992188,323.7270202636719,341.1666564941406,440.5560302734375
2021-11-10,144.74533081054688,174.1024932861328,318.7643737792969,355.98333740234375,437.0118103027344
2021-11-11,144.6963653564453,173.625,320.3349914550781,354.5033264160156,437.1532287597656
2021-11-12,146.77090454101562,176.25750732421875,324.4689025878906,344.47332763671875,440.4523010253906
2021-11-15,146.78065490722656,177.28399658203125,323.84259033203125,337.7966613769531,440.6031494140625
2021-11-16,147.7592010498047,177.03500366210938,327.157470703125,351.57666015625,442.3470458984375
2021-11-17,150.19578552246094,177.4499969482422,327.3794860839844,363.0033264160156,441.27239990234375
2021-11-18,154.48171997070312,184.80299377441406,329.455078125,365.4599914550781,442.7711486816406
2021-11-19,157.10427856445312,183.82850646972656,331.2313537597656,379.0199890136719,441.9794006347656
2021-11-22,157.56419372558594,178.6284942626953,328.06488037109375,385.6233215332031,440.73516845703125
